,Topic,Count,Name,Representation,Representative_Docs
91,91,451,91_sub_inflammatory_segments_samples,"['sub', 'inflammatory', 'segments', 'samples', 'president', 'act', 'tal', 'restoration', 'sn', 'various']","['given the lack of a un ifying definition for c yt oki ne storm 14 and disagreement about the distinction between c yt oki ne storm and a p hy sio log ic inflammatory response , we propose the following three criteria for identifying c yt oki ne storm : elevated circulating c yt oki ne levels , acute systemic inflammatory symptoms , and either secondary organ d ys function ( often re nal , he pa tic , or pulmonary )', 'given the lack of a un ifying definition for c yt oki ne storm 14 and disagreement about the distinction between c yt oki ne storm and a p hy sio log ic inflammatory response , we propose the following three criteria for identifying c yt oki ne storm : elevated circulating c yt oki ne levels , acute systemic inflammatory symptoms , and either secondary organ d ys function ( often re nal , he pa tic , or pulmonary )', 'given the lack of a un ifying definition for c yt oki ne storm 14 and disagreement about the distinction between c yt oki ne storm and a p hy sio log ic inflammatory response , we propose the following three criteria for identifying c yt oki ne storm : elevated circulating c yt oki ne levels , acute systemic inflammatory symptoms , and either secondary organ d ys function ( often re nal , he pa tic , or pulmonary )']"
92,92,429,92_forces_fish_farm_sinks,"['forces', 'fish', 'farm', 'sinks', 'tracts', 'filings', 'patent', 'cross', 'terminal', 'sporting']","[', t has si m turned to ka mes fish farm ing in [] .', ', t has si m turned to ka mes fish farm ing in [] .', ', t has si m turned to ka mes fish farm ing in [] .']"
93,93,425,93_monia_failure_robots_time,"['monia', 'failure', 'robots', 'time', 'data', 'automation', 'manufacturers', 'am', 'size', 'fuel']","['that the size of [] ’ s market – as the world ’ s second largest economy', 'that the size of [] ’ s market – as the world ’ s second largest economy', 'that the size of [] ’ s market – as the world ’ s second largest economy']"
94,94,413,94_oriental_landscape_kle_roof,"['oriental', 'landscape', 'kle', 'roof', 'bridge', 'medicines', 'swedish', 'legislative', 'tion', 'post']","['in a way that places the [] at the cutting', 'in a way that places the [] at the cutting', 'according to the czech intelligence chief the [] emerging medicines threat is due to the massive production of medicines in the country']"
95,95,384,95_iciency_quire_assault_ments,"['iciency', 'quire', 'assault', 'ments', 'igate', 'legitimate', 'duties', 'miniaturized', 'cal', 'modern']","['es cal ating energy - e ff iciency re quire ments of modern []s in st igate', 'es cal ating energy - e ff iciency re quire ments of modern []s in st igate', 'es cal ating energy - e ff iciency re quire ments of modern []s in st igate']"
96,96,372,96_reveal_profile_sizable_prospects,"['reveal', 'profile', 'sizable', 'prospects', 'market', 'ai', 'ener', 'regulation', 'mix', 'rial']","['to fully deeply research reveal market profile prospects .', 'to fully deeply research reveal market profile prospects .', 'to fully deeply research reveal market profile prospects .']"
97,97,367,97_period_chamber_gr_oil,"['period', 'chamber', 'gr', 'oil', 'industrial', 'mill', 'revenue', 'senses', 'dd', 'market']","['t he automotive segment to grow at highest ca gr the forecast period of the industrial metro logy market , and the same trend is expected to be witnessed during the forecast period .', 't he automotive segment to grow at highest ca gr the forecast period of the industrial metro logy market , and the same trend is expected to be witnessed during the forecast period .', 'the growth of the market in this region .']"
98,98,356,98_potential_earthquake_trans_transit,"['potential', 'earthquake', 'trans', 'transit', 'imeter', 'automotive', 'formation', 'wave', 'mill', 'age']","['the potential', 'the potential of', 'the potential']"
99,99,352,99_blood_suit_combat_ql,"['blood', 'suit', 'combat', 'ql', 'variables', 'rom', 'lane', 'lot', 'guard', 'cot']","['c lick here', 'c lick here', 'c lick here']"
100,100,343,100_beta_pan_energy_imports,"['beta', 'pan', 'energy', 'imports', 'damage', 'storage', 'conductor', 'industry', 'solar', 'gain']","['needed to make better energy decisions , attendees will also gain access to the industry - leading [] [unk] portfolio of state - of - the - art digital solutions designed to drive energy reduction s and operational improvements .', 'and counter the supply chain shock caused by the pan de mic , the semi conductor industry has in the short term substantially expanded shipment s', 'and counter the supply chain shock caused by the pan de mic , the semi conductor industry has in the short term substantially expanded shipment s']"
101,101,327,101_product_formation_trans_reasonable,"['product', 'formation', 'trans', 'reasonable', 'port', 'op', 'platform', 'uman', 'transformation', 'ization']","['this age of [] ization , [] a c quire s new sign ific ance a universal feature for all electronic & [] devi ces , [] to [] ef it from the growing moment um of [] trans formation of b[]iness es : global [] trans formation op port unity ( in [] $ bill ion ) for the years 2019 , 202 1 202 3 h uman [] face ( [] ) solutions - global', 'this age of [] ization , [] a c quire s new sign ific ance a universal feature for all electronic & [] devi ces , [] to [] ef it from the growing moment um of [] trans formation of b[]iness es : global [] trans formation op port unity ( in [] $ bill ion ) for the years 2019 , 202 1 202 3 h uman [] face ( [] ) solutions - global', 'this age of [] ization , [] a c quire s new sign ific ance a universal feature for all electronic & [] devi ces , [] to [] ef it from the growing moment um of [] trans formation of b[]iness es : global [] trans formation op port unity ( in [] $ bill ion ) for the years 2019 , 202 1 202 3 h uman [] face ( [] ) solutions - global']"
